Date,BAM return,SP500 return,Alpha
2005 Q3,8.28%,3.48%,4.81%
2005 Q4,3.05%,1.95%,1.10%
2006 Q1,7.21%,4.74%,2.47%
2006 Q2,-3.29%,-1.66%,-1.63%
2006 Q3,6.74%,5.36%,1.37%
2006 Q4,3.52%,6.60%,-3.08%
2007 Q1,3.21%,0.69%,2.52%
2007 Q2,9.11%,6.11%,3.00%
2007 Q3,4.09%,2.14%,1.95%
2007 Q4,-0.15%,-2.71%,2.56%
2008 Q1,-9.14%,-10.48%,1.34%
2008 Q2,-2.60%,-2.25%,-0.36%
2008 Q3,-8.17%,-11.03%,2.86%
2008 Q4,-21.59%,-20.68%,-0.91%
2009 Q1,-6.94%,-10.71%,3.77%
2009 Q2,19.91%,18.27%,1.63%
2009 Q3,14.24%,14.90%,-0.67%
2009 Q4,6.88%,6.61%,0.27%
2010 Q1,5.52%,4.82%,0.70%
2010 Q2,-9.02%,-10.80%,1.78%
2010 Q3,9.75%,10.36%,-0.60%
2010 Q4,12.60%,10.44%,2.17%
2011 Q1,7.06%,6.00%,1.06%
2011 Q2,-1.35%,-0.98%,-0.37%
2011 Q3,-15.53%,-10.78%,-4.74%
2011 Q4,5.96%,8.84%,-2.88%
2012 Q1,11.65%,12.59%,-0.94%
2012 Q2,-3.33%,-2.66%,-0.67%
2012 Q3,1.74%,6.17%,-4.43%
2012 Q4,3.58%,-2.13%,5.71%
2013 Q1,20.65%,12.40%,8.25%
2013 Q2,5.82%,2.75%,3.07%
2013 Q3,11.11%,6.09%,5.02%
2013 Q4,8.54%,9.38%,-0.84%
2014 Q1,2.10%,1.36%,0.74%
2014 Q2,5.39%,6.05%,-0.66%
2014 Q3,1.36%,1.34%,0.02%
2014 Q4,7.05%,5.69%,1.36%
2015 Q1,5.20%,0.76%,4.44%
2015 Q2,1.11%,-0.87%,1.98%
2015 Q3,-5.76%,-7.93%,2.17%
2015 Q4,13.71%,10.11%,3.60%
2016 Q1,-1.79%,0.60%,-2.39%
2016 Q2,2.74%,0.82%,1.92%
2016 Q3,7.66%,4.38%,3.28%
2016 Q4,3.34%,4.73%,-1.39%
2017 Q1,5.24%,6.16%,-0.93%
2017 Q2,6.67%,2.64%,4.04%
2017 Q3,3.91%,4.60%,-0.70%
2017 Q4,8.27%,6.76%,1.51%
2018 Q1,1.49%,-0.99%,2.48%
2018 Q2,10.60%,3.55%,7.05%
2018 Q3,12.75%,7.65%,5.10%
2018 Q4,-18.67%,-14.27%,-4.40%
2019 Q1,17.34%,14.51%,2.83%
2019 Q2,3.37%,4.23%,-0.85%
2019 Q3,-2.47%,1.28%,-3.75%
2019 Q4,4.75%,9.22%,-4.47%
2020 Q1,-14.18%,-18.02%,3.83%
2020 Q2,18.05%,16.86%,1.19%
2020 Q3,8.56%,9.60%,-1.04%
2020 Q4,18.90%,12.39%,6.51%
2021 Q1,14.21%,6.46%,7.75%
2021 Q2,8.56%,8.70%,-0.14%
2021 Q3,3.76%,1.90%,1.85%
2021 Q4,12.03%,9.98%,2.05%
2022 Q1,-1.83%,-3.37%,1.53%
2022 Q2,-16.73%,-16.72%,-0.01%
2022 Q3,-2.22%,-4.22%,2.00%
2022 Q4,6.86%,5.89%,0.97%
2023 Q1,9.19%,5.96%,3.23%
2023 Q2,8.70%,8.92%,-0.22%
2023 Q3,-2.87%,-2.08%,-0.79%
2023 Q4,10.77%,11.63%,-0.86%
2024 Q1,8.42%,10.39%,-1.96%
2024 Q2,-0.54%,4.38%,-4.91%
2024 Q3,7.16%,5.33%,1.83%
2024 Q4,4.55%,3.28%,1.27%
2025 Q1,-3.89%,-5.25%,1.36%
2025 Q2,6.85%,10.99%,-4.14%
